Song,Artist
Rich Men North of Richmond,Oliver Anthony Music
Margaritaville,Jimmy Buffett
I Remember Everything (feat. Kacey Musgraves),Zach Bryan
Come Monday,Jimmy Buffett
Paint The Town Red,Doja Cat
Angry,The Rolling Stones
Lil Boo Thang,Paul Russell
Fast Car,Luke Combs
Used To Be Young,Miley Cyrus
Dream Weaver,Gary Wright
Last Night,Morgan Wallen
Cruel Summer,Taylor Swift
Cheeseburger In Paradise,Jimmy Buffett
White Horse,Chris Stapleton
Dance The Night,Dua Lipa
A Pirate Looks at Forty,Jimmy Buffett
Need A Favor,Jelly Roll
Pressure,Zhang Zhe Han
"Changes In Latitudes, Changes In Attitudes",Jimmy Buffett
Last Time I Saw You,Nicki Minaj
Try That In A Small Town,Jason Aldean
Watermelon Moonshine,Lainey Wilson
I Want to go Home,Oliver Anthony Music
Thinkin’ Bout Me,Morgan Wallen
Lose Control,Teddy Swims
Love Is Alive,Gary Wright
All Star,Smash Mouth
Rockstar,Nickelback
Save Me (with Lainey Wilson),Jelly Roll
Flowers,Miley Cyrus
90 some Chevy,Oliver Anthony Music
Religiously,Bailey Zimmerman
Calm Down,Rema & Selena Gomez
Dreams,Fleetwood Mac
vampire,Olivia Rodrigo
It's Five O'Clock Somewhere (Live),Jimmy Buffett
Son of a Son of a Sailor,Jimmy Buffett
Aint Gotta Dollar,Oliver Anthony Music
Love You Anyway,Luke Combs
In Your Love,Tyler Childers
Indiana Jones,Wayland
Far Away,Nickelback
How You Remind Me,Nickelback
Enter Sandman,Metallica
Beat You There,Will Dempsey
Fins,Jimmy Buffett
Everything I Love,Morgan Wallen
Son Of A Sinner,Jelly Roll
"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish
Hey Driver (feat. The War and Treaty),Zach Bryan
Driving Back There in My Mind,Miranda Lambert
Forever Young,Rod Stewart
Something in the Orange (Z&E's Version),Zach Bryan
Dial Drunk,Noah Kahan & Post Malone
Photograph,Nickelback
Southern Cross,"Crosby, Stills & Nash"
I'll Stand By You,Pretenders
Single Soon,Selena Gomez
I'm a Believer,Smash Mouth
Gypsy,Fleetwood Mac
We Don't Fight Anymore (feat. Chris Stapleton),Carly Pearce
Bury Me in Georgia (Single Edit),Kane Brown
Snooze,SZA
Daylight,David Kushner
Pretty Little Poison,Warren Zeiders
"Praise (feat. Brandon Lake, Chris Brown & Chandler Moore)",Elevation Worship
Have You Ever Seen the Rain,Creedence Clearwater Revival
Rhiannon,Fleetwood Mac
bad idea right?,Olivia Rodrigo
I Love My Body,HWASA
Bring Me to Life,Evanescence
Keep Going Up,"Timbaland, Nelly Furtado & Justin Timberlake"
Latinos For Trump,Trump Latinos
Good Good,"USHER, Summer Walker & 21 Savage"
It's Five O'Clock Somewhere (with Jimmy Buffett),Alan Jackson
Anti-Hero,Taylor Swift
You're the Inspiration,Chicago
We Didn’t Start The Fire,Fall Out Boy
90 Some Chevy (Live),Oliver Anthony Music
Hard to Say I'm Sorry / Get Away,Chicago
Barbie World (with Aqua),Nicki Minaj & Ice Spice
The Painter,Cody Johnson
All My Life (feat. J. Cole),Lil Durk
Thought You Should Know,Morgan Wallen
TRUCK BED,HARDY
Fast Car,Tracy Chapman
Tennessee Whiskey,Chris Stapleton
Spirit In the Sky,Norman Greenbaum
Seven,Jung Kook & Latto
Holy Forever,Chris Tomlin
Thank God,Kane Brown & Katelyn Brown
Walkin' On the Sun,Smash Mouth
Unstoppable,Sia
Everywhere,Fleetwood Mac
